gym_id,gym_name,gym_address,gym_ratings,latitude,longitude,zipcode
1,Castle Hill Fitness,"1112 N Lamar Blvd, Ste B, Austin, TX 78703",4.5,30.27677,-97.7520399,78703
2,Lift ATX,"1005 Springdale Rd, Ste 3, Austin, TX 78721",4,30.265355,-97.694444,78721
3,Atomic Athlete,"3907 Warehouse Row, Austin, TX 78704",5,30.2221905,-97.756855,78704
4,FeV - Iron Vault Gym,"2101 W Ben White Blvd, Unit 105, Austin, TX 78704",5,30.22970512,-97.79134603,78704
5,Big Tex Gym,"1921 Cedar Bend Dr, Ste A130, Austin, TX 78758",4.5,30.40754096,-97.69790288,78758
6,"Onnit Gym - Austin, TX","4401 Freidrich Ln, Ste 301, Austin, TX 78744",4.5,30.20665428,-97.74778676,78744
7,Factory Gym,"2518 S Loop 4, Buda, TX 78610",4.5,30.0464037,-97.8448649,78610
8,Life Time,"7101 S Mopac Expy, Austin, TX 78749",3,30.215458,-97.840105,78749
9,HIT Athletic,"7797 Burnet Rd, Austin, TX 78757",5,30.35371917,-97.73067091,78757
10,Austin Simply Fit,"4912 Burnet Rd., Austin, TX 78756",4.5,30.320688,-97.739678,78756
11,Fitness Connection,"12901 N Interstate 35, Ste 900, Austin, TX 78753",2,30.412063,-97.671536,78753
12,Equinox Austin,"1007 S Congress Ave, Austin, TX 78704",3,30.253977,-97.747731,78704
13,Hyde Park Gym,"4125 Guadalupe St, Austin, TX 78751",4.5,30.3071825,-97.73531,78751
14,LA Fitness,"4001 S Lamar Blvd, Austin, TX 78704",3.5,30.23544,-97.79161,78704
15,FIT Austin,"2919 Menchaca Rd, Ste 200, Austin, TX 78704",5,30.241855,-97.781611,78704
16,Leander Athletic Club,"190 N Bagdad Rd, Ste D, Leander, TX 78641",5,30.57335887,-97.87037922,78641
17,East Austin Athletic Club,"4909 E Cesar Chavez St, Ste C, Austin, TX 78702",5,30.2511415,-97.7013233,78702
18,Los Campeones Gym - Austin,"9811 Vikki Ter, Austin, TX 78736",5,30.23242099,-97.9264785,78736
19,24 Hour Fitness,"1000 E 41st St, Ste 850, Austin, TX 78751",3,30.30140146,-97.72033155,78751
20,Anytime Fitness,"3407 Guadalupe St, Ste A, Austin, TX 78705",3.5,30.30057,-97.73923,78705
21,YMCA of North Austin Community Rec Center,"1000 W Rundberg Ln, Austin, TX 78758",4,30.36475,-97.69985,78758
22,GrassIron,"5555 N Lamar, Ste B-110, Austin, TX 78751",5,30.324062,-97.725981,78751
23,Gold's Gym - Austin Downtown,"115 E 6th St, Austin, TX 78701",2.5,30.2675981,-97.7417296,78701
24,Gold's Gym - Austin South Central,"1701 W Ben White Blvd, Ste 165, Austin, TX 78704",2.5,30.2268237,-97.784686,78704
25,Life Time,"907 W 5th St, Austin, TX 78703",3,30.26959,-97.7538086,78703
26,Forge Strength Austin,"2032 B South Lamar Blvd, Austin, TX 78704",5,30.249785,-97.769044,78704
27,South Austin Gym,"5700 Manchaca Rd, Ste 365, Austin, TX 78745",4,30.21495085,-97.79949847,78745
28,LA Fitness,"2020 W Anderson Ln, Austin, TX 78757",3,30.3553,-97.727518,78757
29,Life Time,"4210 W Braker Ln, Austin, TX 78759",4,30.39966,-97.74015,78759
30,Life Time,"13725 Ranch Rd 620 N, Austin, TX 78717",3,30.47253161,-97.774099,78717
31,Metroflex - Austin,"16300 Central Commerce Dr, Bldg 1, Pflugerville, TX 78660",4,30.46059376,-97.66134685,78660
32,24 Hour Fitness - Austin,"10616 Research Blvd, Austin, TX 78759",2.5,30.39731243,-97.74760916,78759
33,The Iron Plate Training Ground,"10921 E Crystal Falls Pkwy, Bldg F302, Leander, TX 78641",5,30.56977907,-97.8120307,78641
34,Gold's Gym - Austin Highland,"6001 Middle Fiskville Rd, Ste 100, Austin, TX 78752",2.5,30.322676,-97.70938141,78752
35,TLS ATX Global,"10721 Research Blvd, Ste B-140, Austin, TX 78759",4.5,30.398629,-97.744335,78759
36,Liberation Barbell Club,"3900 Drossett Dr, Ste A, Austin, TX 78744",4.5,30.211613,-97.732066,78744
37,Crunch Fitness - Round Rock,"2800 S IH-35, Ste 220, Round Rock, TX 78681",3.5,30.48241742,-97.67651197,78681
38,Rō Fitness Tarrytown,"2425 Exposition Blvd, Ste E-1, Austin, TX 78703",5,30.2976016,-97.7673076,78703
39,Travis County Strength,"4507 Airport Blvd, Unit A, Austin, TX 78751",5,30.3034185,-97.7155757,78751
40,Squatch Frontier Fitness,"701 Tillery St, Austin, TX 78702",5,30.26056,-97.70429,78702
41,House Of Gainz,"610 N Austin Ave, Ste 110, Georgetown, TX 78626",4,30.64736748,-97.67950439,78626
42,Planet Fitness,"1100 W Anderson Ln, Austin, TX 78757",3,30.34995928,-97.7162067,78757
43,Gregory Gymnasium,"2101 Speedway, Austin, TX 78712",4,30.28424023,-97.73646074,78712
44,HEAT Bootcamp South Austin,"2210 S 1st St, Ste A, Austin, TX 78704",5,30.2439917,-97.7586769,78704
45,Dane's Body Shop,"2701 Manor Rd, Austin, TX 78722",5,30.2848,-97.713927,78722
46,Anytime Fitness,"2525 W Anderson Ln, Bldg 3, Ste 100, Northcross Mall, Austin, TX 78757",3.5,30.35454942,-97.733128,78757
47,Sunfield Station,"2610 Main St, Buda, TX 78610",4.5,30.08945354,-97.80849547,78610
48,Embody Fitness,"6800 Burnet Rd, Ste 8, Austin, TX 78757",5,30.34449742,-97.7385078,78757
49,Gold's Gym - Austin Westlake,"701 S Capital Of Texas Hwy, West Lake Hills, TX 78746",2.5,30.29305962,-97.8271572,78746
50,Studio Three,"501 Brazos St, Austin, TX 78701",5,30.26651913,-97.74179044,78701
51,Austin Simply Fit,"1621 S Lamar Blvd, Austin, TX 78704",4.5,30.25080092,-97.76530034,78704
52,East Communities Branch YMCA,"5315 Ed Bluestein Blvd, Austin, TX 78723",3.5,30.29128,-97.6626299,78723
53,Easley Boxing and Fitness,"2401 Thornton Rd, Austin, TX 78704",4.5,30.24416,-97.77184,78704
54,Austin Bouldering Project,"979 Springdale Rd, Ste 150, Austin, TX 78702",4.5,30.2632021,-97.69626097,78702
55,Anytime Fitness,"8516 Anderson Mill Rd, Austin, TX 78729",4.5,30.45635,-97.76769,78729
56,Austin Barbell - Olympic Weightlifting,"714 Shelby Ln, Unit G, Austin, TX 78745",4.5,30.21278122,-97.7598713,78745
57,Athletic Outcomes,"2301-A E Riverside Dr, Ste 50, Austin, TX 78741",5,30.235313,-97.726737,78741
58,Planet Fitness,"1819 S Pleasant Valley Rd, Austin, TX 78741",3,30.23432129,-97.72045414,78741
59,HCI Sports & Fitness,"13875 Bee Cave Pkwy, Bee Cave, TX 78738",3.5,30.31223056,-97.95739258,78738
60,Central Athlete,"1023 Springdale Rd, Bldg 9b, Austin, TX 78721",5,30.267597,-97.6926715,78721
61,Starting Strength - Austin,"2943 W Anderson Ln, Austin, TX 78757",5,30.359446,-97.7391536,78757
62,Outright Fitness & Performance,"15508 Bratton Ln, Ste 625, Austin, TX 78728",5,30.457307,-97.678711,78728
63,Anytime Fitness,"6911 N FM-620, Ste B-100, Austin, TX 78732",3.5,30.40182329,-97.85414497,78732
64,Planet Fitness,"6800 W Gate Blvd, Ste 106, Austin, TX 78745",4,30.20864756,-97.81625194,78745
65,LA Fitness,"1824 W Slaughter Ln, Austin, TX 78748",3,30.17505857,-97.82134079,78748
66,Live Large Fit Studios,"2101 Montopolis Dr, Austin, TX 78741",5,30.22321975,-97.70239637,78741
67,Gold's Gym Austin Bee Caves,"12480 Bee Cave Rd, Bee Cave, TX 78738",3,30.3073994,-97.9354049,78738
68,Evolve Personal Fitness & Gym,"5716 W Hwy 290, Ste 106, Austin, TX 78735",4.5,30.236912,-97.847314,78735
69,The Field House,"9204 Hwy 290 W, Austin, TX 78736",5,30.2322361,-97.92831095,78736
70,Shalom Austin,"7300 Hart Ln, Austin, TX 78731",3.5,30.3574432,-97.75716305,78731
71,Strong Like Her,"150 Russell Ln, Bldg 4, Dripping Springs, TX 78620",5,30.209388,-98.1202519,78620
72,Atomic Outpost,"9805 Beck Cir, Austin, TX 78758",5,30.37674,-97.71235,78758
73,Fusion Fitness,"1112 S 8th St, Austin, TX 78704",5,30.254774,-97.761421,78704
74,RVE Fitness,"3801 N Capital Of Texas Hwy, Ste I 100, Austin, TX 78746",5,30.33636,-97.80518,78746
75,Georgetown Fitness,"900 N Austin Ave, Ste 200, Georgetown, TX 78626",5,30.651539,-97.676972,78626
76,Texas Kettlebell Academy,"7113 Burnet Rd, Ste 118, Austin, TX 78757",5,30.34715,-97.734767,78757
77,Townlake Branch YMCA,"1100 W Cesar Chavez St, Austin, TX 78703",3.5,30.26896,-97.75697,78703
78,F45 Training North Shoal Creek,"3301 Steck Avenue, Ste 104, Austin, TX 78757",5,30.36622,-97.73872,78757
79,Fit and Fearless,"4109 Todd Ln, Ste 1600, Austin, TX 78744",5,30.210233,-97.736533,78744
80,Evolution Fitness,"3301 Hancock Dr, Austin, TX 78731",5,30.3322105,-97.7596512,78731
81,Focus Fitness,"3909 Cologne Ln, Austin, TX 78727",5,30.4168102,-97.7216636,78727
82,Lakeway Elite Fitness,"1909 Ranch Rd 620 S, Ste F&G, Lakeway, TX 78734",5,30.344542,-97.965446,78734
83,LA Fitness,"825 W Whitestone Blvd, Cedar Park, TX 78613",3.5,30.519388,-97.8387299,78613
84,Dane's Body Shop,"807 Capitol Ct, Austin, TX 78756",5,30.31842,-97.73196,78756
85,Gold's Gym,"4404 W William Cannon Dr, Austin, TX 78749",2.5,30.22380746,-97.84009668,78749
86,Anytime Fitness,"7300 FM 2222, Ste 208, Austin, TX 78730",3,30.37192725,-97.80199517,78730
87,Slaughter Gold's Gym,"8900 S Congress Ave, Austin, TX 78745",2.5,30.1698137,-97.78960477,78745
88,Richard Lord's Gym,"6324 N Lamar Blvd, Austin, TX 78752",4.5,30.33175,-97.72314,78752
89,TLS ATX Global,"500 N Lamar Blvd, Ste 190, Austin, TX 78703",4,30.270752,-97.754912,78703
90,Austin Fitness Clinic,"4111 Marathon Blvd, Ste 140, Austin, TX 78756",5,30.31004,-97.74099,78756
91,Hill Country Fitness,"12912 Hill Country Blvd, Ste F-220, Austin, TX 78738",4,30.31011,-97.94228,78738
92,[solidcore],"204 Colorado St, Austin, TX 78701",4,30.26509,-97.74556,78701
93,Rk512,"7601 S Congress Ave, Ste 500, Austin, TX 78745",5,30.18322354,-97.7818191,78745
94,Driven Performance Training,"515 Congress Ave, Ste N, Austin, TX 78701",5,30.2676102,-97.7425593,78701
95,Home Barbell Club,"1900 E Howard Ln, Ste F-3, Pflugerville, TX 78660",5,30.40258017,-97.63437025,78660
96,Planet Fitness,"12611 N Mopac Expy, Ste 3, Austin, TX 78727",3.5,30.42179347,-97.70032251,78727
97,HT Fitness - Cedar Creek,"181 W Sh 21, Cedar Creek, TX 78612",5,30.10971232,-97.4224614,78612
98,Inner Diva Studios,"10401 Anderson Mill Rd, Ste 104, Austin, TX 78750",4.5,30.44687332,-97.80488997,78750
99,Sacrifice Training,"18307 Weiss Ln, Pflugerville, TX 78660",5,30.444039,-97.56281,78660
100,Train 4 The Game ,"3201 Bee Caves Rd, Ste 121, Austin, TX 78746",4.5,30.2713171,-97.79989435,78746
101,HT Fitness - Manor,"12421 E US 290, Manor, TX 78653",3.5,30.34864961,-97.53259473,78653
102,TLS ATX Global,"15500 West State Hghway 71, Bldg C Ste 150, Bee Caves, TX 78738",4.5,30.31772,-97.98474,78738
103,Clay Madsen Recreation Center,"1600 Gattis School Rd, Round Rock, TX 78664",3.5,30.49686,-97.66081,78664
104,Gold's Gym - Austin Anderson Arbor,"13435 Us-183, Austin, TX 78750",3,30.4472067,-97.78756348,78750
105,Gold's Gym - Austin Southeast,"801 E William Cannon Dr, Austin, TX 78745",2.5,30.1894126,-97.77396698,78745
106,CrossFit Central,"410 Pressler St, Austin, TX 78703",4.5,30.272307,-97.761403,78703
107,Wild Basin Fitness At Steiner,"4308 N Quinlan Park Rd, Ste 200, Austin, TX 78732",4,30.38275,-97.8843799,78732
108,Ghostletics Gym,"10203 Old Manchaca Rd, Ste C, Austin, TX 78748",1.5,30.17267339,-97.8301863,78748
109,Marlow's Fitness,"7756 Northcross Dr, Ste 100, Austin, TX 78757",5,30.3567115,-97.7372988,78757
110,Ro Fitness Downtown,"74 Trinity St, Austin, TX 78701",5,30.26063434,-97.74186589,78701
111,Planet Fitness,"1807 W Slaughter Ln, Austin, TX 78748",3,30.1694692,-97.82466888,78748
112,Fitness Connection - Lake Creek,"13776 US-183, Austin, TX 78750",2,30.46167849,-97.79781474,78750
113,Body 20,"4005 Market St, Bee Cave, TX 78738",2,30.3067096,-97.93595847,78738
114,Oak Hill Fitness & Obstacle Course,"7401 Old Bee Caves Rd, Austin, TX 78735",5,30.24075127,-97.87762451,78735
115,Stonehenge Weightlifting,"12112 Anderson Mill Rd, Ste A, Bldg-2, Austin, TX 78726",5,30.45962,-97.83136,78726
116,Pure Ambition,"9709 Brown Ln, Ste E/F, Austin, TX 78754",3,30.353502,-97.66727608,78754
