park_id,park_name,park_address,park_ratings,latitude,longitude,zipcode
1,Pease Park,"1100 Kingsburry St, Austin, TX 78799",4.5,30.28141849,-97.75193428,78799
2,Zilker Park,"2100 Barton Springs Rd, Austin, TX 78704",4.5,30.26685246,-97.77584898,78704
3,Town Lake Metropolitan Parks,"Austin, TX 78701",5,30.27089473,-97.76485992,78701
4,Mueller Lake Park,"4550 Mueller Blvd, Austin, TX 78723",4.5,30.3051045,-97.7034921,78723
5,Barton Creek Greenbelt,"3755-B Capital Of Texas Hwy, Austin, TX 78704",4.5,30.2471838,-97.81268786,78704
6,Mount Bonnell,"3800 Mt Bonnell Rd, Austin, TX 78731",4.5,30.32104,-97.7735299,78731
7,McKinney Falls State Park,"5808 Mckinney Falls Pkwy, Austin, TX 78744",4,30.18365795,-97.72219172,78744
8,Tom Hughes Park,"12714 Hughes Park Rd, Austin, TX 78732",4.5,30.39714042,-97.88055499,78732
9,Northwest District Park,"7000 Ardath St, Austin, TX 78757",4.5,30.34913383,-97.7399307,78757
10,Mayfield Park,"3505 W 35th St, Austin, TX 78703",4.5,30.3124609,-97.77061702,78703
11,Walnut Creek Metropolitan Park,"12138 N Lamar Blvd, Austin, TX 78758",4.5,30.3991227,-97.6794893,78758
12,Alliance Children’s Garden,"1000 Barton Springs Rd, Butler Park, Austin, TX 78704",5,30.26188389,-97.75432805,78704
13,Hippie Hollow Park,"7000 Comanche Trl, Austin, TX 78732",4,30.4142657,-97.88651177,78732
14,Lou Neff Point,"Ann And Roy Butler Hike And Bike Trl, Austin, TX 78746",4.5,30.26713417,-97.76195917,78746
15,Emma Long Metropolitan Park,"1600 City Park Rd, Austin, TX 78730",4,30.3318538,-97.8368792,78730
16,Jacobs Well Natural Area,"1699 Mt Sharp Rd, Wimberley, TX 78676",4.5,30.039093,-98.126352,78676
17,Commons Ford Ranch Metropolitan Park,"614 Commons Ford Rd, Austin, TX 78733",4,30.336394,-97.89123,78733
18,St Edwards Park,"7301 Spicewood Springs Rd, Austin, TX 78798",4,30.407987,-97.791113,78798
19,Roy G Guerrero Colorado River Park,"400 Grove Blvd, Austin, TX 78741",4.5,30.241888,-97.701233,78741
20,Dick Nichols District Park,"8011 Beckett Rd, Austin, TX 78749",4.5,30.21241179,-97.8598902,78749
21,Ramsey Park and Pool,"4301 Rosedale Ave, Austin, TX 78756",4.5,30.31329,-97.74388,78756
22,Waterloo Greenway,"1111 Red River, Austin, TX 78701",5,30.2715314,-97.7349442,78701
23,Shipe Park,"4400 Avenue G, Austin, TX 78751",4,30.30709,-97.72748,78751
24,Arboretum Duck Pond,"10000 Research Blvd, Austin, TX 78759",3.5,30.39282,-97.74701,78759
25,East Metropolitan Park,"18701 Blake Manor Rd, Manor, TX 78653",4.5,30.2883655,-97.5230464,78653
26,Rollingwood Municipal Park,"403 Nixon Dr, Austin, TX 78746",4.5,30.27535061,-97.78826794,78746
27,Mansfield Dam Park,"4370 Mansfield Dam Rd, Austin, TX 78734",3.5,30.39639451,-97.91120768,78734
28,Little Stacy Park,"1400 Alameda Dr, Austin, TX 78704",4.5,30.24661144,-97.74334431,78704
29,Lindshire Park,"10228 Lindshire Ln, Austin, TX 78748",4.5,30.1748806,-97.8409345,78748
30,Katherine Fleischer Park,"2106 Klattenhoff Dr, Austin, TX 78728",4.5,30.44278874,-97.67894364,78728
31,Walter E Long Park,"6614 Blue Buff Rd, Austin, TX 78724",4,30.2823591,-97.6088665,78724
32,Adams-Hemphill Park,"201 W 30th St, Austin, TX 78705",4,30.29469,-97.73864,78705
33,Brushy Creek Lake Park,"3300 Brushy Creek Rd, Austin, TX 78717",4.5,30.50824371,-97.77223421,78717
34,Pace Bend Park,"2805 Pace Bend Rd, Spicewood, TX 78734",4,30.4596509,-98.0192471,78734
35,Mary Moore Searight Metropolitan Park,"907 Slaughter Ln, Austin, TX 78748",4.5,30.16397903,-97.80756536,78748
36,Bull Creek Greenbelt,"7806 N Capital Of Texas Hwy, Austin, TX 78731",4.5,30.3781,-97.78014,78731
37,Dittmar Recreation Center,"1009 W Dittmar Rd, Austin, TX 78745",4,30.18466,-97.80232,78745
38,Lost Creek Park,"1305 Quaker Ridge Dr, Austin, TX 78746",4.5,30.28348047,-97.83358767,78746
39,West Enfield Park,"2008 Enfield Rd, Austin, TX 78703",4,30.28650306,-97.76497163,78703
40,Bull Creek District Park,"6701 Lakewood Dr, Austin, TX 78731",4,30.36868479,-97.7844607,78731
41,Springwoods MUD Park,"9117 Anderson Mill Rd, Austin, TX 78729",4.5,30.45143,-97.7806,78729
42,Butler District Park,"1000 Barton Springs Rd, Austin, TX 78701",4.5,30.26217833,-97.7544394,78701
43,Balcones District Park,"12017 Amherst Dr, Austin, TX 78759",4,30.41304,-97.72032,78759
44,Stone Hill Park,"1124 Town Center Dr, Pflugerville, TX 78660",4.5,30.4684249,-97.6041399,78660
45,Allen Park,"6413 Westside Dr, Austin, TX 78731",4,30.34397,-97.75432,78731
46,Hatley Park,"2603 Rollingwood Dr, Rollingwood, TX 78746",4.5,30.271889,-97.78359,78746
47,Wooldridge Park,"400-498 W 9th St, Austin, TX 78701",4,30.27236905,-97.7456135,78701
48,Bailey Park,"1101 W 33rd St, Austin, TX 78705",4,30.30221171,-97.74710154,78705
49,Old Baldy,"33 La Toya Cir, Wimberley, TX 78676",4.5,30.009812,-98.11615,78676
50,Garrison District Park,"6001 Manchaca Rd, Austin, TX 78745",4,30.21202181,-97.80052203,78745
51,Wildflower Park,"5000 Tiger Lily Way, Austin, TX 78739",5,30.19029886,-97.86983811,78739
52,Hamilton Pool Preserve,"24300 Hamilton Pool Rd, Dripping Springs, TX 78620",4,30.34327165,-98.1319465,78620
53,Green Meadows Park,"2357 Green Meadows Ln, Buda, TX 78610",4.5,30.06273,-97.81535,78610
54,Stillhouse Hollow Nature Preserve,"7810 Sterling Dr, Austin, TX 78731",5,30.36910374,-97.762094,78731
55,Elizabeth Milburn Park,"1901 Sun Chase Blvd, Cedar Park, TX 78613",4.5,30.4774985,-97.84039272,78613
56,Lakeline Park,"1510 Alexis Dr, Cedar Park, TX 78613",5,30.48969,-97.81463,78613
57,Rosewood Park and Pool,"2300 Rosewood Ave, Austin, TX 78702",4,30.2705428,-97.7145276,78702
58,Cat Hollow Park,"8600 O'Connor Dr, Austin, TX 78717",5,30.504081,-97.731652,78717
59,Windy Point Park,"6506 Bob Wentz Park Rd, Austin, TX 78732",3.5,30.41633305,-97.89892541,78732
60,John Gaines Park,"2708 Sorin St, Austin, TX 78723",5,30.29317107,-97.6966012,78723
61,Nicholas Dawson Park,"614 Gibson St, Austin, TX 78704",4.5,30.252552,-97.754851,78704
62,Domain Central Park,"11100 Alterra Pkwy, Austin, TX 78758",4,30.39724535,-97.72222188,78758
63,Sparky Park,"3701 Grooms St, Austin, TX 78705",4,30.29903412,-97.73219299,78705
64,Blue Hole Regional Park,"100 Blue Hole Ln, Wimberley, TX 78676",4,30.001188,-98.090703,78676
65,Lake Pflugerville,"18216 Weiss Ln, Pflugerville, TX 78660",4,30.44303,-97.56444,78660
66,Old Settlers Park,"3300 E Palm Valley Blvd, Round Rock, TX 78665",4,30.52640996,-97.63493634,78665
67,The Turtle Pond,"2300-2328 University Ave, Austin, TX 78712",4.5,30.2866077,-97.7394791,78712
68,Mueller Southwest Greenway,"2501 Tom Miller St, Austin, TX 78723",4.5,30.28927924,-97.70235728,78723
69,Gracywoods Park,"12133 Metric Blvd, Austin, TX 78758",4.5,30.404962,-97.696346,78758
70,Westcave Outdoor Discovery Center,"24814 Hamilton Pool Rd, Round Mountain, TX 78663",5,30.33736727,-98.14090624,78663
71,Govalle Park,"Bolm Rd, Austin, TX 78721",3.5,30.2594932,-97.69184858,78721
72,Muleshoe Bend Recreation Area,"2820 County Rd 414, Spicewood, TX 78669",4.5,30.48696546,-98.09883331,78669
73,Triangle Park,"4800 Guadalupe St, Austin, TX 78798",3.5,30.31484127,-97.73040734,78798
74,South Austin Park,"1100 Cumberland Rd, Austin, TX 78704",4.5,30.24174,-97.76846,78704
75,Seiders Springs Park,"1380 W 34th St, Austin, TX 78705",4.5,30.30533678,-97.74802344,78705
76,Central Park Walking Track,"Guadalupe St And 38th St, Austin, TX 78798",5,30.30418058,-97.73791226,78798
77,Play For All Abilities Park,"151 N A W Grimes Blvd, Round Rock, TX 78664",5,30.51484886,-97.65308374,78664
78,Onion Creek District Park,"7001 Onion Creek Dr, Austin, TX 78744",4,30.16826817,-97.74626543,78744
79,Oak Parke Greenbelt,"100 Idalia Dr, Austin, TX 78749",4.5,30.18133,-97.86078,78749
80,Eastwoods Park,"3001 Harris Park Ave, Austin, TX 78705",4,30.290519,-97.731825,78705
81,Longhorn Cavern State Park,"6211 Park Rd 4 S, Burnet, TX 78611",4.5,30.68286827,-98.35086832,78611
