city,state,zipcode,address,price,bedrooms,bathrooms,square_foot,latitude,longitude,sale_amount,sale_transaction_date
CEDAR PARK,TX,78613,2704 ORSOBELLO PL,827510.0,4,3.0,3715.0,30.463011,-97.84663,503723.0,2020-01-30
CEDAR PARK,TX,78613,2705 QUIET MOON TRL,1064554.0,5,4.0,5018.0,30.473855,-97.853806,1100000.0,2022-03-25
CEDAR PARK,TX,78613,3204 APPENNINI WAY,956365.0,4,3.0,4145.0,30.456254,-97.849748,679630.0,2020-09-10
CEDAR PARK,TX,78613,3125 FIORELLINO PL,776845.0,4,3.0,3624.0,30.45473,-97.848842,609375.0,2023-01-04
CEDAR PARK,TX,78613,2316 ALDWORTH DR,945000.0,6,4.0,4725.0,30.467167,-97.851148,781250.0,2021-12-13
CEDAR PARK,TX,78613,1203 RITTER DR,793241.0,4,2.0,3318.0,30.483654,-97.854381,718750.0,2022-07-22
CEDAR PARK,TX,78613,1701 HONEYWEED ST,348687.0,3,2.0,1712.0,30.464326,-97.830438,457875.0,2023-06-22
CEDAR PARK,TX,78613,3204 ARGENTO PL,685088.0,4,2.0,3004.0,30.453097,-97.848637,771875.0,2022-02-22
CEDAR PARK,TX,78613,1505 AVERY ELISSA LN,500091.0,4,3.0,2328.0,30.483344,-97.837112,539063.0,2023-06-05
CEDAR PARK,TX,78613,1610 JUNIPER RIDGE LOOP,536389.0,4,3.0,2175.0,30.482666,-97.835853,583063.0,2021-08-19
CEDAR PARK,TX,78613,1700 HONEYWEED ST,380514.0,3,2.0,1713.0,30.464155,-97.829965,452438.0,2020-10-27
CEDAR PARK,TX,78613,1516 SKIP TYLER DR,1012944.0,6,4.0,4601.0,30.478889,-97.852558,1012500.0,2022-04-25
CEDAR PARK,TX,78613,1704 PASEO CORTO DR,776852.0,4,2.0,3678.0,30.475087,-97.854345,808750.0,2022-04-07
CEDAR PARK,TX,78613,2703 CULVER CLIFF LN,891517.0,5,2.0,3683.0,30.464412,-97.850625,555000.0,2020-04-14
CEDAR PARK,TX,78613,2111 DAYFLOWER TRCE,553308.0,3,2.0,2722.0,30.468723,-97.841915,531250.0,2023-06-05
CEDAR PARK,TX,78613,1509 SHADY CREEK TRL,642075.0,4,3.0,3240.0,30.479473,-97.850975,620500.0,2022-01-18
CEDAR PARK,TX,78613,2907 CASHELL WOOD DR,806726.0,4,4.0,4078.0,30.461415,-97.845168,610000.0,2021-03-09
CEDAR PARK,TX,78613,2505 DURLSTON CT,701915.0,4,2.0,3510.0,30.472207,-97.848659,593750.0,2021-01-19
CEDAR PARK,TX,78613,2305 MACAW DR,605861.0,3,2.0,3215.0,30.464778,-97.843666,560000.0,2021-12-20
CEDAR PARK,TX,78613,2702 BENEVENTO WAY,849418.0,4,3.0,3895.0,30.459722,-97.847399,962500.0,2022-02-22
CEDAR PARK,TX,78613,2802 LITTLE ELM TRL,431832.0,3,3.0,1799.0,30.467829,-97.823932,694688.0,2022-03-08
CEDAR PARK,TX,78613,2110 W RIVIERA DR,360829.0,3,2.0,1298.0,30.481474,-97.816961,486875.0,2021-06-23
