property_id,gym_id
7,115
7,199
7,334
9,231
9,303
9,349
10,231
10,303
10,349
11,115
11,199
11,334
15,303
16,303
18,303
21,123
21,143
21,163
22,123
22,143
22,267
22,344
23,303
28,123
28,143
28,163
31,123
31,143
31,163
32,123
32,143
32,163
33,115
33,152
33,199
33,334
35,303
37,303
40,123
40,143
40,163
42,199
46,123
46,143
46,163
50,199
55,303
56,303
57,303
58,303
59,303
62,303
65,199
66,115
66,199
68,115
68,199
72,303
73,303
74,303
75,303
76,303
77,303
78,303
80,115
80,199
80,334
81,303
83,303
86,303
100,231
100,349
106,303
107,115
107,199
107,334
345,290
345,347
415,145
421,275
441,227
445,227
449,227
464,226
465,227
471,16
472,227
473,227
474,227
483,227
483,274
490,223
491,223
494,223
496,223
497,223
585,223
602,223
647,223
651,223
673,223
674,223
684,223
746,223
749,223
785,223
790,223
815,171
816,171
817,171
964,1
964,22
964,25
964,70
964,90
964,91
964,95
964,141
964,198
964,203
964,234
965,1
965,25
965,70
965,91
965,95
965,198
965,203
965,234
966,1
966,43
966,252
967,22
967,51
967,90
967,95
967,111
967,141
967,203
967,233
967,234
968,1
969,1
969,25
969,70
969,91
969,95
969,198
969,203
969,234
970,1
970,25
970,91
970,234
971,1
973,134
973,260
977,132
980,40
980,134
980,260
981,134
981,260
982,134
982,260
983,2
983,40
983,54
983,59
984,48
985,40
985,134
985,260
986,134
986,260
987,134
987,260
988,48
991,40
991,134
991,260
992,132
992,233
993,233
994,134
994,260
996,2
996,54
996,59
997,40
997,134
997,260
998,40
999,233
1000,233
1001,134
1001,260
1002,48
1003,134
1003,260
1004,134
1004,260
1006,134
1006,260
1007,134
1007,260
1008,134
1008,260
1009,134
1009,260
1013,134
1013,260
1016,134
1016,260
1017,134
1017,260
1018,134
1018,260
1019,233
1021,134
1021,260
1022,48
1023,48
1024,48
1025,48
1026,134
1026,260
1027,134
1027,260
1029,134
1029,260
1030,48
1031,134
1031,260
1032,48
1033,134
1033,260
1035,134
1035,260
1036,40
1036,134
1036,260
1038,134
1038,260
1039,40
1039,134
1039,260
1041,132
1043,40
1043,54
1043,260
1045,40
1045,134
1045,260
1046,48
1047,233
1048,134
1048,260
1049,132
1050,48
1051,134
1051,260
1052,134
1052,260
1053,134
1053,260
1054,132
1055,48
1056,2
1056,40
1056,54
1057,48
1058,233
1060,233
1061,48
1062,2
1062,40
1062,54
1062,59
1063,233
1064,48
1066,134
1066,260
1067,134
1067,260
1068,48
1069,134
