property_id,school_id
2,127
2,850
5,127
6,745
6,850
7,86
7,314
7,638
7,856
7,869
7,912
9,124
9,396
9,550
9,596
9,630
9,815
10,124
10,396
10,550
10,596
10,630
10,815
11,86
11,314
11,638
11,856
11,869
11,912
12,850
13,850
15,127
15,396
15,550
15,606
15,630
15,815
16,127
16,396
16,550
16,606
16,850
18,127
18,396
18,550
18,606
18,815
19,127
21,86
21,314
21,575
21,638
21,856
21,930
22,469
22,478
22,930
23,127
23,396
23,550
23,596
23,606
23,630
23,815
23,850
24,332
27,745
28,314
28,544
28,569
28,575
28,638
28,757
28,781
28,930
31,314
31,544
31,575
31,638
31,757
31,930
32,544
32,575
32,638
32,757
32,930
33,86
33,314
33,638
33,856
33,869
33,912
34,850
35,127
35,396
35,550
35,606
35,850
36,127
36,850
37,127
37,396
37,550
37,606
37,815
37,850
38,745
38,850
39,127
40,544
40,569
40,575
40,638
40,757
40,930
44,127
44,850
45,745
45,850
46,544
46,569
46,575
46,638
46,757
46,781
46,930
47,332
48,332
49,127
49,396
49,850
50,127
51,127
51,850
52,850
53,127
54,850
55,127
55,396
55,550
55,606
55,815
55,850
56,127
56,396
56,550
56,606
56,815
56,850
57,127
57,396
57,550
57,606
57,815
58,127
58,396
58,550
58,606
58,815
58,850
59,127
59,396
59,550
59,606
59,850
60,127
60,606
60,815
61,127
62,127
62,396
62,550
62,606
62,815
62,850
63,127
64,127
65,127
66,127
72,127
72,396
72,550
72,606
72,850
73,127
73,396
73,550
73,606
73,815
73,850
74,127
74,396
74,550
74,606
74,815
74,850
75,127
75,396
75,606
76,127
76,396
76,550
76,606
76,850
77,127
77,396
77,550
77,606
77,630
77,815
77,850
78,127
78,396
78,550
78,606
78,815
79,745
79,850
80,86
80,314
80,638
80,856
80,869
80,912
81,127
81,396
81,550
81,606
81,815
82,127
82,396
82,606
82,850
83,127
83,396
83,606
83,815
84,127
84,396
84,606
84,850
85,850
86,127
86,396
86,550
86,596
86,606
86,630
86,815
86,850
87,745
87,850
88,127
90,745
90,850
92,745
92,850
94,745
94,850
95,745
95,850
96,850
98,332
99,332
100,596
100,795
100,928
101,127
101,396
101,606
105,850
106,127
106,396
106,606
106,815
107,86
107,314
107,638
107,856
107,869
107,912
114,110
119,110
120,110
121,110
122,110
123,110
124,110
126,110
135,110
142,110
150,110
151,110
250,739
258,174
258,365
264,164
292,164
308,151
405,151
406,151
409,151
421,660
436,316
436,705
438,785
440,954
441,535
441,954
443,785
445,535
445,954
446,443
448,785
449,535
449,927
449,954
464,785
465,149
465,535
465,857
465,927
465,954
472,535
472,927
472,954
473,535
473,954
474,535
474,954
478,785
480,149
480,590
480,857
480,939
483,149
483,366
483,535
483,857
488,149
488,590
488,857
488,939
496,649
530,649
541,649
543,649
547,649
585,649
586,649
624,649
651,649
656,649
658,649
660,649
672,649
683,649
685,649
715,649
747,649
751,649
782,649
783,649
