rest_id,rest_name,rest_address,rest_ratings,latitude,longitude,zipcode
1,Qi Austin,"835 West 6th St, Unit 114, Austin, TX 78703",4.5,30.27058605,-97.75251468,78703
2,1618 Asian Fusion,"1618 E Riverside Dr, AMLI South Shore Bldg, Austin, TX 78741",4.5,30.245474,-97.730411,78741
3,Aba - Austin,"1011 S Congress Ave, Bldg 2, Ste 180, Austin, TX 78704",4.5,30.25357,-97.74803,78704
4,Anthem,"91 Rainey St, Ste 120, Austin, TX 78701",4.5,30.2604995,-97.73794654,78701
5,Moonshine Patio Bar & Grill,"303 Red River St, Austin, TX 78701",4.5,30.26375388,-97.73807686,78701
6,Salty Sow,"1917 Manor Rd, Austin, TX 78722",4.5,30.28364973,-97.72131801,78722
7,Suerte,"1800 E 6th St, Austin, TX 78702",4.5,30.26228,-97.72331,78702
8,Odd Duck,"1201 S Lamar Blvd, Austin, TX 78704",4.5,30.25452,-97.762064,78704
9,Higher Ground,"720 Congress Ave, Austin, TX 78701",4,30.26978,-97.7424,78701
10,Gather & Forge,"2823 Hancock Dr, Austin, TX 78731",5,30.3277447,-97.7498273,78731
11,Loro,"2115 S Lamar Blvd, Austin, TX 78704",4.5,30.24775,-97.77127,78704
12,La Plancha,"1701 E Martin Luther King Jr Blvd, Austin, TX 78702",4.5,30.27927,-97.72297,78702
13,Patrizi's,"2307 Manor Rd, Austin, TX 78722",4.5,30.28397151,-97.71721015,78722
14,SOHA,"911 W Anderson Ln, Ste 114, Austin, TX 78757",4.5,30.3481588,-97.71484877,78757
15,Vic & Al's,"2406 Manor Rd, Ste D, Austin, TX 78722",4.5,30.2849835,-97.7168484,78722
16,TenTen,"501 W 6th St, Austin, TX 78701",4.5,30.26916,-97.74771,78701
17,Electric Shuffle Austin,"91 Red River St, Ste 102, Austin, TX 78701",4.5,30.26095988,-97.7388282,78701
18,La Piscina,"600 W 2nd St, Proper Hotel, Austin, TX 78701",4.5,30.2660716,-97.7499454,78701
19,Estelle's,"400 Colorado St, Austin, TX 78701",4,30.26689654,-97.7449805,78701
20,Launderette,"2115 Holly St, Austin, TX 78702",4,30.25193,-97.72273,78702
21,Wax Myrtle's,"506 San Jacinto Blvd, Austin, TX 78701",4,30.26694003,-97.740851,78701
22,Canje,"1914 E 6th St, Ste C, Austin, TX 78702",4.5,30.26177,-97.72232,78702
23,Este,"2113 Manor Rd, Austin, TX 78722",4.5,30.2842074,-97.71961014,78722
24,Irene's,"506 W Ave, Austin, TX 78701",4,30.269838,-97.751213,78701
25,Gràcia Mediterranean,"4800 Burnet Rd, Ste 450, Austin, TX 78756",4.5,30.319075,-97.739501,78756
26,Red Ash,"303 Colorado St, Austin, TX 78701",4.5,30.26588,-97.744672,78701
27,Franklin Barbecue,"900 E 11th St, Austin, TX 78702",4.5,30.2701348,-97.73134511,78702
28,The Peacock,"600 W 2nd St, Austin, TX 78701",4,30.266299,-97.7501055,78701
29,Seoulju,"9515 N Lamar Blvd, Ste 230, Austin, TX 78753",4.5,30.36478975,-97.69449782,78753
30,Quince Lakehouse,"3825 Lake Austin Blvd, Ste 201, Austin, TX 78703",4.5,30.29547127,-97.7841556,78703
31,Smash ATX,"213 W 5th St, Austin, TX 78701",4.5,30.26751,-97.74546,78701
32,Phoebe's Diner,"533 W Oltorf St, Austin, TX 78704",4.5,30.2416132,-97.7588755,78704
33,Acre 41,"1901 San Antonio St, Austin, TX 78705",4,30.28223,-97.74291,78705
34,Eureka!,"200 E 6th St, Austin, TX 78701",4,30.26784275,-97.74124011,78701
35,J Carver’s,"509 Rio Grande St, Austin, TX 78701",4.5,30.26952488,-97.74944737,78701
36,Roaring Fork,"701 Congress Ave, Austin, TX 78701",4,30.26912394,-97.74220162,78701
37,Nido,"1211 W Riverside Dr, Austin, TX 78704",4,30.26410527,-97.75668343,78704
38,Khon Thai Kitchen By Seeda,"5800 Burnet Rd, Ste 400, Austin, TX 78756",4.5,30.3334,-97.74101,78756
39,Kemuri Tatsu-ya,"2713 E 2nd St, Austin, TX 78702",4,30.25386,-97.7129,78702
40,Laurel Restaurant,"320 S Capital Of Texas Hwy, West Lake Hills, TX 78746",4,30.3022045,-97.8298978,78746
41,Swift's Attic,"315 Congress Ave, Ste 200, Austin, TX 78701",4,30.26563,-97.74337,78701
42,Garrison,"101 Red River St, Austin, TX 78701",4.5,30.26228671,-97.73855939,78701
43,Apt 115,"2025 E 7th St, Austin, TX 78702",5,30.2616,-97.71982,78702
44,Phoebe's Diner,"408 W 11th St, Unit 100, Austin, TX 78701",4.5,30.27404,-97.74493,78701
45,DipDipDip Tatsu-Ya,"7301 Burnet Rd, Ste 101, Austin, TX 78757",4,30.34867062,-97.7350106,78757
46,Dean's Italian Steakhouse,"110 East 2nd St, Austin, TX 78701",4.5,30.26438,-97.7434,78701
47,June's,"1722 S Congress Ave, Austin, TX 78704",4,30.24630833,-97.75114586,78704
48,Barley Swine,"6555 Burnet Rd, Ste 400, Austin, TX 78757",4.5,30.34127377,-97.73838864,78757
49,Caroline,"621 Congress Ave, Ste 101, Austin, TX 78701",4,30.26882842,-97.7422982,78701
50,Hestia,"607 West 3rd St, Ste 105, Austin, TX 78701",4.5,30.266775,-97.74998,78701
51,Paperboy,"1203 E 11th St, Austin, TX 78702",4.5,30.2684012,-97.72755585,78702
52,Lin Asian Bar And Dim Sum,"1203 W 6th St, Austin, TX 78703",4,30.27281,-97.75799,78703
53,FTG ATX,"4301 Duval St, Austin, TX 78751",5,30.30477662,-97.7257366,78751
54,Corinne Austin,"304 E Cesar Chavez St, Unit 100, Austin, TX 78701",4.5,30.26273,-97.74158,78701
55,Perla's,"1400 S Congress Ave, Ste B100, Austin, TX 78704",4,30.24995732,-97.75009197,78704
56,Comedor,"501 Colorado St, Austin, TX 78701",4,30.267721,-97.744204,78701
57,Intero Restaurant,"2612 E Cesar Chavez St, Austin, TX 78702",4.5,30.25380783,-97.71465332,78702
58,Toshokan,"807 E 4th St, Austin, TX 78702",5,30.26341834,-97.7346683,78702
59,El Raval,"1500 South Lamar Blvd, Austin, TX 78704",4.5,30.25209,-97.76445,78704
60,Yamas Greek Kitchen + Bar,"5308 Balcones Dr, Austin, TX 78731",4,30.33557611,-97.75912693,78731
61,Péché,"208 W 4th St, Austin, TX 78701",4,30.26699,-97.74524,78701
62,Rose Gose,"5201 Airport Blvd, Austin, TX 78751",4.5,30.313105,-97.714725,78751
63,Las Perlas,"405 E 7th St, Austin, TX 78701",4.5,30.26766,-97.73864,78701
64,Boteco,"1720 Barton Springs Rd, Austin, TX 78704",4.5,30.263624,-97.763001,78704
65,Jewboy Burgers,"5111 Airport Blvd, Austin, TX 78751",4.5,30.3127408,-97.71508227,78751
66,Gus's World Famous Fried Chicken - Austin,"117 San Jacinto Blvd, Austin, TX 78701",4.5,30.2634862,-97.7417305,78701
67,Gabriela's Downtown,"900 E 7th St, Austin, TX 78702",4,30.2666,-97.73302,78702
68,Emmer & Rye,"51 Rainey St, Austin, TX 78701",4,30.25694136,-97.73933237,78701
69,Summer House on Music Lane,"1101 Music Ln, Austin, TX 78704",4,30.25261777,-97.74769523,78704
70,Uncle Nicky's,"4222 Duval St, Austin, TX 78751",4,30.30489,-97.72621,78751
71,North Italia,"500 W 2nd St, Ste 120, Austin, TX 78701",4,30.26579507,-97.748924,78701
72,La Popular - Austin,"5 SW Pkwy Building, Ste 100, Austin, TX 78735",4,30.25524023,-97.86736998,78735
73,Lutie’s Garden Restaurant,"4100 Red River St, Austin, TX 78751",4,30.300784,-97.722215,78751
74,Velvet Taco,"522 Congress Ave, Ste 100, Austin, TX 78701",4.5,30.26795908,-97.74317306,78701
75,Baretto Bistro,"1206B W 38th St, Austin, TX 78705",4.5,30.30654796,-97.74520127,78705
76,Bar Peached,"1315 W 6th St, Austin, TX 78703",4.5,30.27354,-97.76001,78703
77,Ember Kitchen,"800 W Cesar Chavez St, Ste PP110, Austin, TX 78701",4.5,30.266578,-97.752637,78701
78,Oseyo,"1628 E Cesar Chavez St, Austin, TX 78702",4,30.25831,-97.72757,78702
79,The Peached Tortilla,"5520 Burnet Rd, Ste 100, Austin, TX 78756",4,30.33075,-97.74021,78756
80,Olamaie,"1610 San Antonio St, Austin, TX 78701",4,30.2799,-97.74367,78701
81,Bird Bird Biscuit,"2701 Manor Rd, Austin, TX 78722",4.5,30.284804,-97.713964,78722
82,Wu Chow,"500 W 5th St, Austin, TX 78701",4,30.26859266,-97.74788225,78701
83,Terry Black's Barbecue,"1003 Barton Springs Rd, Austin, TX 78704",4.5,30.25969157,-97.75480136,78704
84,Arlo Grey by Kristen Kish,"111 E Cesar Chavez St, Austin, TX 78701",4,30.26272416,-97.74410643,78701
85,CARVE American Grille - Central Austin ,"2613 Perseverance Dr, Austin, TX 78731",4,30.3181159,-97.7528127,78731
86,Olive & June,"3411 Glenview Ave, Austin, TX 78703",4,30.30726,-97.75113,78703
87,Bar 508 Mezcalerita,"508 E 8th St, Austin, TX 78701",4.5,30.2686,-97.73665,78701
88,Soupleaf Hot Pot,"6929 Airport Blvd, Ste 127, Austin, TX 78752",4.5,30.33867074,-97.7182056,78752
89,Tiki Tatsu-Ya,"1300 S Lamar Blvd, Austin, TX 78704",4,30.25382,-97.76331,78704
90,Ezov,"2708 E Cesar Chavez St, Austin, TX 78702",4,30.25345964,-97.71351897,78702
91,Nomade,"1506 South 1st St, Austin, TX 78704",4.5,30.24973495,-97.7553113,78704
92,Cooper's Old Time Pit Bar-B-Que,"217 Congress Ave, Austin, TX 78701",4,30.26489,-97.74361,78701
93,Austin Rotisserie,"111 Congress Ave, P400, Austin, TX 78701",4.5,30.263536,-97.7435761,78701
94,Hopfields,"3110 Guadalupe St, Ste 400, Austin, TX 78705",4,30.29855386,-97.74098936,78705
95,Proud Mary,"2043 S Lamar Blvd, Austin, TX 78704",4.5,30.24830039,-97.7693827,78704
96,Sawyer & Co,"4827 E Cesar Chavez St, Austin, TX 78702",4,30.25133324,-97.70178223,78702
97,Flo's Wine Bar & Bottle Shop,"3111 W 35th St, Austin, TX 78703",4.5,30.31326372,-97.7669042,78703
98,Bufalina,"2215 E Cesar Chavez St, Austin, TX 78702",4,30.25518,-97.719656,78702
99,Veracruz Fonda & Bar,"1905 Aldrich St, Ste 125, Austin, TX 78723",4.5,30.29819579,-97.70524986,78723
100,POCHA IS BACK,"6808N N Lamar Blvd, Ste B-110, Austin, TX 78752",4.5,30.336184,-97.720611,78752
101,Bouldin Creek Cafe,"1900 S 1st St, Austin, TX 78704",4.5,30.24646,-97.75677,78704
102,TLC Austin,"1100 S Lamar Blvd, Ste 1150, Austin, TX 78704",4,30.25576,-97.76252,78704
103,Goldy’s,"2401 Winsted Ln, Austin, TX 78703",5,30.2928937,-97.76049269,78703
104,El Alma,"1025 Barton Springs Rd, Austin, TX 78704",4,30.2601,-97.75562,78704
105,Salt Traders Zilker,"1101 S MoPac Expy, Austin, TX 78746",4.5,30.26297,-97.784594,78746
106,Vamonos,"4807 Airport Blvd, Austin, TX 78751",4.5,30.30854,-97.71537,78751
107,District Kitchen - Anderson Lane,"7858 Shoal Creek Blvd, Bldg B, Austin, TX 78757",4.5,30.36068,-97.74139,78757
108,Jack Allen's Kitchen,"3600 North Capital Of Texas Hwy, Bldg D, Austin, TX 78746",4.5,30.33524346,-97.8075081,78746
109,Ling Kitchen,"8423 Research Blvd, Austin, TX 78758",4.5,30.35927,-97.71592,78758
110,The Diner Bar - Austin,"500 San Jacinto Blvd, Austin, TX 78701",4.5,30.26661947,-97.7408417,78701
111,House of Three Gorges,"8557 Research Blvd, Ste 144, Austin, TX 78758",4.5,30.36172808,-97.71534968,78758
112,Juniper,"2400 E Cesar Chavez St, Ste 304, Austin, TX 78702",4,30.254867,-97.717182,78702
113,Lee’s Kitchen + Cocktails,"701 S Capital Of Tx Hwy, Ste G700, West Lake Hills, TX 78746",5,30.28992038,-97.82719318,78746
114,Pecan Square Cafe,"1200 W 6th St, Ste B, Austin, TX 78703",4,30.27311679,-97.75724508,78703
115,Numero28,"452 W 2nd St, Austin, TX 78701",4,30.26566,-97.74841,78701
116,Titaya's Thai Cuisine,"5501 N Lamar Blvd, Ste C101, Austin, TX 78751",4,30.32360519,-97.72736819,78751
117,TraphouseATX,"310 Colorado St, Austin, TX 78701",4,30.266269,-97.745228,78701
118,Tweedy's,"2908 Fruth St, Austin, TX 78705",5,30.295514,-97.74173,78705
119,Golden Tiger,"1816 E 6th St, Austin, TX 78702",4,30.261993,-97.7226715,78702
120,Jjim Korean Braised BBQ,"1100 S Lamar Blvd, Ste 2140, Austin, TX 78704",4.5,30.25576,-97.76252,78704
121,Hold Out Brewing,"1208 W 4th St, Austin, TX 78703",4,30.271378,-97.758904,78703
122,Holiday on 7th,"5020 E 7th St, Austin, TX 78702",4.5,30.2537018,-97.6976313,78702
123,Meat & Bread,"360 Nueces St, Ste 20, Austin, TX 78701",5,30.26707466,-97.74983827,78701
124,Domo Alley Gato Tatsu-Ya,"1606 E 6th St, Austin, TX 78702",4,30.26310552,-97.72626063,78702
125,Uchibā,"601 W 2nd St, Austin, TX 78701",4.5,30.2658,-97.74998,78701
126,Prim and Proper,"1007 S Congress Ave, Ste 120, Austin, TX 78704",4.5,30.25422464,-97.74761894,78704
127,Picnik - Burnet Road,"4801 Burnet Rd, Austin, TX 78756",4,30.3189,-97.73897,78756
128,Revelry Kitchen + Bar,"1410 E 6th St, Austin, TX 78702",4,30.2637173,-97.72772209,78702
129,Fabrik - Austin,"1701 E Martin Luther King Jr Blvd, Ste 102, Austin, TX 78702",5,30.279202,-97.722964,78702
130,RedFarm,"201 W 3rd St, Austin, TX 78701",4,30.26563383,-97.74543609,78701
131,Hula Hut,"3825 Lake Austin Blvd, Austin, TX 78703",3.5,30.29471208,-97.78439585,78703
132,Bat City Pies,"1505 Town Creek Dr, Austin, TX 78741",5,30.241716,-97.726887,78741
133,Jeffrey's,"1204 W Lynn St, Austin, TX 78703",4,30.28036214,-97.75907211,78703
134,Sammie’s Italian,"807 W 6th St, Austin, TX 78703",4,30.27019,-97.75102,78703
135,888 Pan Asian Restaurant,"2400 E Oltorf St, Ste 1A, Austin, TX 78741",4,30.22965592,-97.73000412,78741
