city,state,zipcode,address,price,bedrooms,bathrooms,property_size (sqr ft)
CEDAR PARK,TX,78613,2704 ORSOBELLO PL,827510.0,4,3.0,3715.0
CEDAR PARK,TX,78613,2304 MACAW DR,558408.0,4,2.0,2822.0
CEDAR PARK,TX,78613,2628 IZORO BND,956172.0,5,3.0,4162.0
CEDAR PARK,TX,78613,2405 TIVOLI DR,768456.0,4,3.0,3493.0
CEDAR PARK,TX,78613,2606 MELEKHIN BND,946591.0,6,4.0,4560.0
CEDAR PARK,TX,78613,2705 QUIET MOON TRL,1064554.0,5,4.0,5018.0
CEDAR PARK,TX,78613,3006 LOMBARDI WAY,895176.0,4,3.0,4067.0
CEDAR PARK,TX,78613,3204 APPENNINI WAY,956365.0,4,3.0,4145.0
CEDAR PARK,TX,78613,3125 FIORELLINO PL,776845.0,4,3.0,3624.0
CEDAR PARK,TX,78613,2401 DANCIGER LN,890736.0,4,3.0,3990.0
CEDAR PARK,TX,78613,2308 LONDON LN,643806.0,4,2.0,3151.0
CEDAR PARK,TX,78613,2316 ALDWORTH DR,945000.0,6,4.0,4725.0
CEDAR PARK,TX,78613,2504 GREER DR,749970.0,5,4.0,4110.0
CEDAR PARK,TX,78613,1205 RITTER DR,792228.0,4,3.0,3443.0
CEDAR PARK,TX,78613,1203 RITTER DR,793241.0,4,2.0,3318.0
CEDAR PARK,TX,78613,1102 RITTER DR,783206.0,4,2.0,3357.0
CEDAR PARK,TX,78613,2710 AZZURO WAY,982321.0,5,3.0,5253.0
CEDAR PARK,TX,78613,2700 CORABELLA PL,709310.0,4,2.0,2987.0
CEDAR PARK,TX,78613,3128 ARGENTO PL,726866.0,5,2.0,3582.0
CEDAR PARK,TX,78613,1701 HONEYWEED ST,348687.0,3,2.0,1712.0
CEDAR PARK,TX,78613,3104 ARGENTO PL,690361.0,4,3.0,3646.0
CEDAR PARK,TX,78613,3204 ARGENTO PL,685088.0,4,2.0,3004.0
CEDAR PARK,TX,78613,3108 ARGENTO PL,852823.0,4,2.0,3962.0
CEDAR PARK,TX,78613,3112 ARGENTO PL,818499.0,5,3.0,4306.0
CEDAR PARK,TX,78613,1108 CHERRY LN,509935.0,4,3.0,3078.0
CEDAR PARK,TX,78613,1112 RED BIRD DR,478516.0,3,3.0,2621.0
CEDAR PARK,TX,78613,1505 AVERY ELISSA LN,500091.0,4,3.0,2328.0
CEDAR PARK,TX,78613,1600 JUNIPER RIDGE LOOP,442513.0,4,3.0,1819.0
CEDAR PARK,TX,78613,1602 JUNIPER RIDGE LOOP,547829.0,4,3.0,2848.0
CEDAR PARK,TX,78613,1604 JUNIPER RIDGE LOOP,465733.0,4,3.0,2118.0
CEDAR PARK,TX,78613,1606 JUNIPER RIDGE LOOP,446377.0,4,3.0,1930.0
CEDAR PARK,TX,78613,1608 JUNIPER RIDGE LOOP,494740.0,4,3.0,2626.0
CEDAR PARK,TX,78613,1610 JUNIPER RIDGE LOOP,536389.0,4,3.0,2175.0
CEDAR PARK,TX,78613,1612 JUNIPER RIDGE LOOP,496693.0,4,3.0,2319.0
CEDAR PARK,TX,78613,1614 JUNIPER RIDGE LOOP,528688.0,4,3.0,2945.0
CEDAR PARK,TX,78613,3002 RED BAY DR,316475.0,3,2.0,1096.0
CEDAR PARK,TX,78613,3105 PEPPER GRASS TRL,418982.0,3,2.0,2700.0
CEDAR PARK,TX,78613,2211 MACAW DR,375546.0,3,2.0,1987.0
CEDAR PARK,TX,78613,2213 MACAW DR,572353.0,4,2.0,2355.0
CEDAR PARK,TX,78613,2212 OLD MILL RD,542206.0,4,3.0,2755.0
CEDAR PARK,TX,78613,2310 CLAYTON WAY,277186.0,3,2.0,1183.0
CEDAR PARK,TX,78613,1709 HONEYWEED ST,405553.0,3,2.0,1712.0
CEDAR PARK,TX,78613,1700 HONEYWEED ST,380514.0,3,2.0,1713.0
CEDAR PARK,TX,78613,1607 HONEYWEED ST,338358.0,3,2.0,1521.0
CEDAR PARK,TX,78613,2506 STENSON DR,436439.0,3,2.0,2132.0
CEDAR PARK,TX,78613,2604 STENSON DR,500433.0,3,2.0,2674.0
CEDAR PARK,TX,78613,2805 CORTEZ DR,665504.0,3,2.0,3437.0
CEDAR PARK,TX,78613,1503 SKIP TYLER DR,1146866.0,5,4.0,5595.0
CEDAR PARK,TX,78613,1516 SKIP TYLER DR,1012944.0,6,4.0,4601.0
CEDAR PARK,TX,78613,1514 SKIP TYLER DR,775580.0,4,3.0,3678.0
CEDAR PARK,TX,78613,1214 HEPPNER DR,429856.0,4,2.0,1909.0
CEDAR PARK,TX,78613,2802 CORABELLA PL,635639.0,3,2.0,2769.0
