rest_id,rest_name,rest_address,rest_ratings,latitude,longitude
1,Qi Austin,"835 West 6th St, Unit 114, Austin, TX 78703",4.5,30.27058605281438,-97.75251467522534
2,1618 Asian Fusion,"1618 E Riverside Dr, AMLI South Shore Bldg, Austin, TX 78741",4.5,30.245474,-97.730411
3,Aba - Austin,"1011 S Congress Ave, Bldg 2, Ste 180, Austin, TX 78704",4.5,30.25357,-97.74803
4,Anthem,"91 Rainey St, Ste 120, Austin, TX 78701",4.5,30.260499502500732,-97.7379465429382
5,Moonshine Patio Bar & Grill,"303 Red River St, Austin, TX 78701",4.5,30.26375388334444,-97.738076861816
6,Salty Sow,"1917 Manor Rd, Austin, TX 78722",4.5,30.2836497259461,-97.7213180065155
7,Suerte,"1800 E 6th St, Austin, TX 78702",4.5,30.26228,-97.72331
8,Odd Duck,"1201 S Lamar Blvd, Austin, TX 78704",4.5,30.25452,-97.762064
9,Higher Ground,"720 Congress Ave, Austin, TX 78701",4.0,30.26978,-97.7424
10,Gather & Forge,"2823 Hancock Dr, Austin, TX 78731",5.0,30.3277447,-97.7498273
11,Loro,"2115 S Lamar Blvd, Austin, TX 78704",4.5,30.24775,-97.77127
12,La Plancha,"1701 E Martin Luther King Jr Blvd, Austin, TX 78702",4.5,30.27927,-97.72297
13,Patrizi's,"2307 Manor Rd, Austin, TX 78722",4.5,30.2839715080976,-97.7172101465576
14,SOHA,"911 W Anderson Ln, Ste 114, Austin, TX 78757",4.5,30.348158799999464,-97.71484877057412
15,Vic & Al's,"2406 Manor Rd, Ste D, Austin, TX 78722",4.5,30.2849835,-97.7168484
16,TenTen,"501 W 6th St, Austin, TX 78701",4.5,30.26916,-97.74771
17,Electric Shuffle Austin,"91 Red River St, Ste 102, Austin, TX 78701",4.5,30.2609598795566,-97.73882820000132
18,La Piscina,"600 W 2nd St, Proper Hotel, Austin, TX 78701",4.5,30.2660716,-97.7499454
19,Estelle's,"400 Colorado St, Austin, TX 78701",4.0,30.266896536904493,-97.7449805
20,Launderette,"2115 Holly St, Austin, TX 78702",4.0,30.25193,-97.72273
21,Wax Myrtle's,"506 San Jacinto Blvd, Austin, TX 78701",4.0,30.266940030373213,-97.740851
22,Canje,"1914 E 6th St, Ste C, Austin, TX 78702",4.5,30.26177,-97.72232
23,Este,"2113 Manor Rd, Austin, TX 78722",4.5,30.28420740251809,-97.71961013910531
24,Irene's,"506 W Ave, Austin, TX 78701",4.0,30.269838,-97.751213
25,Gràcia Mediterranean,"4800 Burnet Rd, Ste 450, Austin, TX 78756",4.5,30.319075,-97.739501
26,Red Ash,"303 Colorado St, Austin, TX 78701",4.5,30.26588,-97.744672
27,Franklin Barbecue,"900 E 11th St, Austin, TX 78702",4.5,30.2701348,-97.7313451068641
28,The Peacock,"600 W 2nd St, Austin, TX 78701",4.0,30.266299,-97.7501055
29,Seoulju,"9515 N Lamar Blvd, Ste 230, Austin, TX 78753",4.5,30.3647897512989,-97.694497822839
30,Quince Lakehouse,"3825 Lake Austin Blvd, Ste 201, Austin, TX 78703",4.5,30.29547127448907,-97.7841556
31,Smash ATX,"213 W 5th St, Austin, TX 78701",4.5,30.26751,-97.74546
32,Phoebe's Diner,"533 W Oltorf St, Austin, TX 78704",4.5,30.2416132,-97.7588755
33,Acre 41,"1901 San Antonio St, Austin, TX 78705",4.0,30.28223,-97.74291
34,Eureka!,"200 E 6th St, Austin, TX 78701",4.0,30.267842749166107,-97.74124011397362
35,J Carver’s,"509 Rio Grande St, Austin, TX 78701",4.5,30.26952488348901,-97.74944737360416
36,Roaring Fork,"701 Congress Ave, Austin, TX 78701",4.0,30.2691239366193,-97.74220162455124
37,Nido,"1211 W Riverside Dr, Austin, TX 78704",4.0,30.26410527121516,-97.7566834256152
38,Khon Thai Kitchen By Seeda,"5800 Burnet Rd, Ste 400, Austin, TX 78756",4.5,30.3334,-97.74101
39,Kemuri Tatsu-ya,"2713 E 2nd St, Austin, TX 78702",4.0,30.25386,-97.7129
40,Laurel Restaurant,"320 S Capital Of Texas Hwy, West Lake Hills, TX 78746",4.0,30.3022045,-97.8298978
41,Swift's Attic,"315 Congress Ave, Ste 200, Austin, TX 78701",4.0,30.26563,-97.74337
42,Garrison,"101 Red River St, Austin, TX 78701",4.5,30.262286708775857,-97.7385593922303
43,Apt 115,"2025 E 7th St, Austin, TX 78702",5.0,30.2616,-97.71982
44,Phoebe's Diner,"408 W 11th St, Unit 100, Austin, TX 78701",4.5,30.27404,-97.74493
45,DipDipDip Tatsu-Ya,"7301 Burnet Rd, Ste 101, Austin, TX 78757",4.0,30.348670620044125,-97.73501060379088
46,Dean's Italian Steakhouse,"110 East 2nd St, Austin, TX 78701",4.5,30.26438,-97.7434
47,June's,"1722 S Congress Ave, Austin, TX 78704",4.0,30.2463083255216,-97.7511458576444
48,Barley Swine,"6555 Burnet Rd, Ste 400, Austin, TX 78757",4.5,30.3412737661652,-97.7383886364151
49,Caroline,"621 Congress Ave, Ste 101, Austin, TX 78701",4.0,30.26882841579826,-97.74229820378147
50,Hestia,"607 West 3rd St, Ste 105, Austin, TX 78701",4.5,30.266775,-97.74998
51,Paperboy,"1203 E 11th St, Austin, TX 78702",4.5,30.2684012,-97.7275558531846
52,Lin Asian Bar And Dim Sum,"1203 W 6th St, Austin, TX 78703",4.0,30.27281,-97.75799
53,FTG ATX,"4301 Duval St, Austin, TX 78751",5.0,30.3047766206252,-97.7257366
54,Corinne Austin,"304 E Cesar Chavez St, Unit 100, Austin, TX 78701",4.5,30.26273,-97.74158
55,Perla's,"1400 S Congress Ave, Ste B100, Austin, TX 78704",4.0,30.24995731632653,-97.75009197444392
56,Comedor,"501 Colorado St, Austin, TX 78701",4.0,30.267721,-97.744204
57,Intero Restaurant,"2612 E Cesar Chavez St, Austin, TX 78702",4.5,30.2538078303281,-97.7146533178121
58,Toshokan,"807 E 4th St, Austin, TX 78702",5.0,30.263418335809813,-97.7346683
59,El Raval,"1500 South Lamar Blvd, Austin, TX 78704",4.5,30.25209,-97.76445
60,Yamas Greek Kitchen + Bar,"5308 Balcones Dr, Austin, TX 78731",4.0,30.33557610922092,-97.75912693123576
61,Péché,"208 W 4th St, Austin, TX 78701",4.0,30.26699,-97.74524
62,Rose Gose,"5201 Airport Blvd, Austin, TX 78751",4.5,30.313105,-97.714725
63,Las Perlas,"405 E 7th St, Austin, TX 78701",4.5,30.26766,-97.73864
64,Boteco,"1720 Barton Springs Rd, Austin, TX 78704",4.5,30.263624,-97.763001
65,Jewboy Burgers,"5111 Airport Blvd, Austin, TX 78751",4.5,30.3127408,-97.71508227214272
66,Gus's World Famous Fried Chicken - Austin,"117 San Jacinto Blvd, Austin, TX 78701",4.5,30.2634862,-97.7417305
67,Gabriela's Downtown,"900 E 7th St, Austin, TX 78702",4.0,30.2666,-97.73302
68,Emmer & Rye,"51 Rainey St, Austin, TX 78701",4.0,30.256941357994524,-97.73933237013148
69,Summer House on Music Lane,"1101 Music Ln, Austin, TX 78704",4.0,30.252617768292083,-97.74769522897344
70,Uncle Nicky's,"4222 Duval St, Austin, TX 78751",4.0,30.30489,-97.72621
71,North Italia,"500 W 2nd St, Ste 120, Austin, TX 78701",4.0,30.26579507333844,-97.748924
72,La Popular - Austin,"5 SW Pkwy Building, Ste 100, Austin, TX 78735",4.0,30.255240230184153,-97.86736997742383
73,Lutie’s Garden Restaurant,"4100 Red River St, Austin, TX 78751",4.0,30.300784,-97.722215
74,Velvet Taco,"522 Congress Ave, Ste 100, Austin, TX 78701",4.5,30.267959079138866,-97.7431730552339
75,Baretto Bistro,"1206B W 38th St, Austin, TX 78705",4.5,30.306547964744833,-97.74520127279808
76,Bar Peached,"1315 W 6th St, Austin, TX 78703",4.5,30.27354,-97.76001
77,Ember Kitchen,"800 W Cesar Chavez St, Ste PP110, Austin, TX 78701",4.5,30.266578,-97.752637
78,Oseyo,"1628 E Cesar Chavez St, Austin, TX 78702",4.0,30.25831,-97.72757
79,The Peached Tortilla,"5520 Burnet Rd, Ste 100, Austin, TX 78756",4.0,30.33075,-97.74021
80,Olamaie,"1610 San Antonio St, Austin, TX 78701",4.0,30.2799,-97.74367
81,Bird Bird Biscuit,"2701 Manor Rd, Austin, TX 78722",4.5,30.284804,-97.713964
82,Wu Chow,"500 W 5th St, Austin, TX 78701",4.0,30.268592660232244,-97.74788224956195
83,Terry Black's Barbecue,"1003 Barton Springs Rd, Austin, TX 78704",4.5,30.2596915716907,-97.7548013627529
84,Arlo Grey by Kristen Kish,"111 E Cesar Chavez St, Austin, TX 78701",4.0,30.262724161102867,-97.74410642632972
85,CARVE American Grille - Central Austin ,"2613 Perseverance Dr, Austin, TX 78731",4.0,30.3181159,-97.7528127
86,Olive & June,"3411 Glenview Ave, Austin, TX 78703",4.0,30.30726,-97.75113
87,Bar 508 Mezcalerita,"508 E 8th St, Austin, TX 78701",4.5,30.2686,-97.73665
88,Soupleaf Hot Pot,"6929 Airport Blvd, Ste 127, Austin, TX 78752",4.5,30.33867074286145,-97.7182056039015
89,Tiki Tatsu-Ya,"1300 S Lamar Blvd, Austin, TX 78704",4.0,30.25382,-97.76331
90,Ezov,"2708 E Cesar Chavez St, Austin, TX 78702",4.0,30.25345964298245,-97.7135189705522
91,Nomade,"1506 South 1st St, Austin, TX 78704",4.5,30.24973495377611,-97.7553113
