school_id,school_name,school_address,school_ratings,latitude,longitude,zipcode
1,Magellan International School,"7938 Great Northern Blvd, Austin, TX 78757",4.5,30.363261,-97.7421851,78757
2,Austin International School,"4001 Adelphi Ln, Austin, TX 78727",4.5,30.422421,-97.718074,78727
3,McCallum High School,"5600 Sunshine Dr, Austin, TX 78756",3.5,30.32624,-97.72982,78756
4,Gorzycki Middle School,"7412 W Slaughter Ln, Austin, TX 78749",4,30.21639803,-97.89374515,78749
5,International School of Texas,"4402 Hudson Bend, Austin, TX 78734",4.5,30.40458,-97.92768,78734
6,Austin Waldorf School,"8700 S View Rd, Austin, TX 78737",5,30.23038588,-97.912414,78737
7,The Magnolia School,"3500  RR 620 S, Bldg- G200, Bee Caves, TX 78738",5,30.32266586,-97.95769724,78738
8,Stephen F Austin High School,"1715 W Cesar Chavez St, Austin, TX 78703",3.5,30.27350672,-97.76657387,78703
9,St Francis School,"300 E Huntland Dr, Austin, TX 78752",5,30.33114672,-97.71007887,78752
10,St. Theresa's Catholic School,"4311 Small Dr, Austin, TX 78731",3,30.34321,-97.77483,78731
11,O Henry Middle School,"2610 W 10th St, Austin, TX 78703",3.5,30.28573691,-97.77380894,78703
12,Academy of Thought and Industry at Austin,"5815 Airport Blvd, Austin, TX 78752",5,30.32308,-97.71478,78752
13,Nyos Charter School,"12301 N Lamar Blvd, Austin, TX 78753",1.5,30.40186,-97.67791,78753
14,Paragon Prep School,"5206 Balcones Dr, Austin, TX 78731",5,30.335182,-97.760101,78731
15,Ecole Jean Jacques Rousseau,"11607 N Lamar Blvd, Austin, TX 78753",5,30.38526,-97.68423,78753
16,Bridge Point Elementary,"6401 Cedar St, Austin, TX 78746",5,30.33965255,-97.80588444,78746
17,Kirby Hall School,"306 W 29th St, Austin, TX 78705",5,30.29441826,-97.74062522,78705
18,Oak Hill Elementary School,"6101 Patton Ranch Rd, Austin, TX 78735",5,30.23811851,-97.85886979,78735
19,Hyde Park School,"11400 N Mopac Expy, Austin, TX 78759",3.5,30.408195,-97.729956,78759
20,St Stephens Episcopal School,"6500 St Stephen's Dr, Austin, TX 78746",4.5,30.33046,-97.819261,78746
21,Bailey Middle School,"4020 Lost Oasis Hollow, Austin, TX 78739",3,30.16487846,-97.87255421,78739
22,Lake Hills Montessori,"600 N Cuernavaca Dr, Austin, TX 78733",3.5,30.33098,-97.87004,78733
23,Earth Native Wilderness School,"137 Woodview Ln, Bastrop, TX 78602",5,30.09240896,-97.41608056,78602
24,ACE Academy,"3901 Shoal Creek Blvd, Austin, TX 78756",4,30.308005,-97.747071,78756
25,Hyde Park Montessori,"4108 Ave H, Austin, TX 78751",4.5,30.30357,-97.72821,78751
26,St Andrew's Episcopal School,"5901 Southwest Pkwy, Austin, TX 78735",3.5,30.247803,-97.849868,78735
27,"Copernicus STEM, Language and Arts Academy","4605 N IH35, Austin, TX 78722",5,30.30242419,-97.71414023,78722
28,Challenger School - Avery Ranch,"15101 Avery Ranch Blvd, Austin, TX 78717",3,30.49730435,-97.77268819,78717
29,Texas Education Advocacy,"1414 Preston Ave, Austin, TX 78703",5,30.2966758,-97.7527262,78703
30,Headwaters School,"807 Rio Grande St, Austin, TX 78701",3.5,30.27232091,-97.74831148,78701
31,Chinese With Meggie,"708 E 51st St, Austin, TX 78751",4.5,30.31311,-97.716863,78751
32,Emler Swim School of Austin-Westlake,"3267 Bee Caves Rd, Ste 145, Austin, TX 78746",4.5,30.273595,-97.801894,78746
33,Crenshaw Athletic Club,"5000 Fairview Dr, Austin, TX 78731",4.5,30.33164,-97.75949,78731
34,4Points Academy,"5145 RR 620 N, Ste G-130, Austin, TX 78732",5,30.38761259,-97.88557996,78732
35,Eden Park Academy,"6215 Manchaca Rd, Austin, TX 78745",4,30.20933746,-97.803132,78745
36,Liberal Arts and Science Academy,"7309 Lazy Creek Dr, Unit 225, Austin, TX 78724",5,30.31311613,-97.65662413,78724
37,More Than A Teacher,"3532 Bee Cave Rd, Ste 212, Austin, TX 78746",4,30.27799027,-97.804672,78746
38,KIPP Austin Public Schools,"8509 Fm 969, Bldg 513, Austin, TX 78724",2.5,30.27665,-97.63788,78724
39,Flamencura Music & Dance Studio,"8910 Research Blvd, Ste D3, Austin, TX 78758",5,30.368973,-97.72254,78758
40,LakeCreek Montessori International School,"10713 N Fm 620, Ste 601, Austin, TX 78726",5,30.4472735,-97.8306173,78726
41,Sankalpa Academy,"2215 E M Franklin Ave, Austin, TX 78723",5,30.28816,-97.69764,78723
42,Rawson Saunders School,"2614A Exposition Blvd, Austin, TX 78703",4,30.30237743,-97.7667478,78703
43,spilled milk social club,"3804 Cherrywood Rd, Austin, TX 78702",5,30.2914596,-97.7141933,78702
44,Parkside Community School,"3207 W Slaughter Ln, Austin, TX 78748",5,30.17926788,-97.84447479,78748
45,St. David's Day School,"301 E 8th St, Austin, TX 78701",4.5,30.26892,-97.73956,78701
46,BASIS Austin Primary,"1501 Dartmouth Ave Austin Tx 78757, Austin, TX 78757",4.5,30.348301,-97.72366883,78757
47,Love the Sat,"4412 Spicewood Springs Rd, Ste 705, Austin, TX 78759",5,30.3734526,-97.7577319,78759
48,Twin Oaks Montessori School,"7804 Northwest Dr, Austin, TX 78757",4.5,30.35082,-97.72183,78757
49,Huntington Learning Center,"13011 Shops Pkwy 300, Ste 300, Bee Cave, TX 78738",5,30.3070535,-97.9457362,78738
50,School on the Rise,"11797 Rim Rock Trl, Austin, TX 78737",5,30.20806,-97.96036,78737
51,Planting Seeds Academic Solutions,"Austin, TX 78723",4.5,30.30427487,-97.68569557,78723
52,Dub Academy,"906 E 5th St, Ste 109, Austin, TX 78702",4.5,30.2645298,-97.7335871,78702
53,All Austin Cooperative Nursery School,"2301 Hancock Dr, Austin, TX 78756",5,30.32421,-97.7431,78756
